"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34613","29b. Add all segment line items","webkit","2026-05-17","failed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","2455","16. Upload Excel file - PO Summary format1.xlsx","firefox","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","1395","26. Navigate to home page and verify tile content","chromium","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","34090","03. Should successfully login with valid credentials and save auth","webkit","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","8670","22. Fill in all line item details (Delivery No, Dates)","firefox","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","1602","25. Verify saved record appears in the Buyer PO Upload list","chromium","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","2027","18. Verify file upload processed","chromium","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","355","29. Enter name in Segment Master Create form","firefox","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","2011","18. Verify file upload processed","firefox","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","3","12. Verify Buyer PO Upload page loaded","chromium","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","54","06. Should display all tile group headers","firefox","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","8","15. Verify form fields are visible","chromium","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","98282","27. Click on Segment Master tile and verify navigation","webkit","2026-05-17","failed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","123","22b. Capture all entered form data and save to buyerPO.json","chromium","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","1668","26. Navigate to home page and verify tile content","firefox","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","285","02. Should display error message on invalid credentials","chromium","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","34291","05. Navigate to home page","webkit","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","60526","28. Click Create button on Segment Master list","webkit","2026-05-17","failed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","35956","29c. Save Segment Master record","firefox","2026-05-17","failed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","2049","23. Click Save/Create button to save the form","firefox","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","23","08. Should display Production Process tiles","firefox","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","7812","22. Fill in all line item details (Delivery No, Dates)","chromium","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","7740","16. Upload Excel file - PO Summary format1.xlsx","chromium","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","21","14. Verify Buyer PO Upload form loaded","webkit","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","3890","20. Fill form: Select supplier, enter PO Date and Kimble Number","webkit","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","95557","26. Navigate to home page and verify tile content","webkit","2026-05-17","failed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","30","07. Should display Merchandising Process tiles","firefox","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","22","14. Verify Buyer PO Upload form loaded","firefox","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","35167","29c. Save Segment Master record","webkit","2026-05-17","failed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","2138","27. Click on Segment Master tile and verify navigation","firefox","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","118","24. Capture all line item details and update test data JSON","chromium","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","5044","19. Read Excel file and verify data loaded","chromium","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","5076","19. Read Excel file and verify data loaded","firefox","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","1677","25. Verify saved record appears in the Buyer PO Upload list","webkit","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","22","11. Click on Buyer PO Upload tile","webkit","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","52","15. Verify form fields are visible","webkit","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","37841","29c. Save Segment Master record","chromium","2026-05-17","failed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","197","06. Should display all tile group headers","chromium","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","227","24. Capture all line item details and update test data JSON","firefox","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","67","28. Click Create button on Segment Master list","firefox","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","2086","27. Click on Segment Master tile and verify navigation","chromium","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","2577","16. Upload Excel file - PO Summary format1.xlsx","webkit","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","6","09. Should display Other tiles","chromium","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
